text,actual,predicted
"Saturday night in with toast, hot choc & @ollyofficial on E News #happydays",1,0
Blessing May Free MP3 Download http://t.co/kPH4iFub [Like it? http://t.co/ojJYs4HC ],1,0
"To all of you watching Kina Grannis tomorrow, its still a GO. stay safe everyone! @kinagrannis @kinagrannisPH @DavidChoiPH @AJRafaelPH",0,1
"National Women's Day in #SouthAfrica this Thursday, 9 August. Promote gender equality and an end to abuse of women in Africa + the world",1,0
@OoTEREoO Hey what's the status of Kina Grannis and her concert? If the rain is still this bad we might not have a show tomorrow...,-1,0
@CraigSpratt Yeh it's a joke. May as well make Crufts an Olympic event too if this counts as one...,1,0
AUG 9TH St Practice Day. We haven't reached St Patrick's Day yet the snakes are still in Ireland - come in and get bitten! $4 Snake Bites,-1,1
"Maybe tomorrow I'll get my arse in gear, go check out the thrift store and stop in at the Lair.",1,0
Claytons practice chat sessions 7pm Fri & Sat THIS weekend in @RWAus Forums NEW chat room. Very relaxed. Join us! (if you're a Claytoneer),1,0
"In celebration of National Women's Day on 9th of August, Poise Brands, in association with Body Sense Boutique... http://t.co/KYErz0i3",1,0
Download Fast Ipad Hd Video Player Guide: Do you have to shy away from looking to be whipped? You may not see at... http://t.co/ic3qKJ21,-1,1
Vasilis Girasis' webcast (usually Thursday) will be available Friday morning since it's National Women's Day (hol) in South Africa tomorrow.,1,0
"No white T's, No ball cap. $500 CASH to the Women in the sexiest RED dress... Raffles for Moet Rose & a pair of Red Bottoms. September 1st",1,0
I'm struggling to understand the #WomensDay tag because IWD is 8th March. I guess there's no point asking you to make me a sammich? /runs,-1,0
"- Pop bottles , make love , thug passion , RED BOTTOMS , Mon Claire , high fashion .",1,0
Just back from pre-season. Legs are knackered. Now going to watch the 2nd leg of the Europa League Liverpool v FC Gomel.........!!!x,1,0
I woke up to see the sun shining all around me... Yoko Kanno on Pandora http://t.co/wU8lj60R #pandora,0,1
#News Pepe Reina believes the stylish manner of Liverpool's 3-0 victory over FC Gomel on Thursday... http://t.co/dw3DEa5K (LFC Website),1,0
"@ajaydevgn Himmatwala set for HOLI release 29 march 2013..sure shot another blockbuster 4 ajay.it will going 2 3rd in row..BB,SOS,HIMMATWALA",1,0
"@Syddie YES. I'm thinking Feb/March, possibly to include Holi!? I want to play with all the colors!",1,0
hbsbhsdv might be going to see sweeney todd in west end on monday! Imelda Staunton!!!,0,1
@ZachSaltern7 oh. Well last time I saw colleges don't look at PSSAs. So if we want to compare how are your SAT scores and GPA?,0,-1
psyched about the Grand Strand Cypher. September 13. Your boys gonna be on WorldStarHipHop!,0,1
Moomba with the boys on a friday night!! First friday since forever! Last moomba before leaving!! Leggoo #bwoy,0,1
"US government proposes law making it illegal for them to kill you: Last Friday, US Congressman Dennis Kucinich i... http://t.co/dwHbVK1t",0,1
Promo Pics from La O Na Makuahine - S301 #H50 Airs Monday Sept 24th - See the full gallery on Posterous... http://t.co/VvHxeGHX,0,1
"Pop bottles, make love, thug passion. Red Bottoms, Mon Claire. High fashion [;",1,0
@samuel_k93 went to watch em against fc Gomel and sat in the KOP and the atmosphere is insane! And Wen they sang NWA I had goose bumps lol,1,0
This week's #tweetpic66 contest is tweeting a picture with a Mario Lemieux signed item! Winner chosen randomly Friday at 2pm!,1,0
@KatVonTease420 Hmm I usually don't watch B/G shows but I may have to make an exception for something like that ;),1,-1
So @bubbleselise I think we need a Directioners Day again with Ayesha.. BUT.. Cant be the 26th...,0,-1
"@Cliffer_94 I din't take Nutella. Took Galaxy instead, but it's over. No man, NIT is fun. Coming in December :)",-1,1
I'll just go Naked tomorrow,0,1
"Sydney, Newcastle - Mon 3 to Weds 5 September - Spotlight on the road sharing the Reporting, Dashboard, Franchises, @spotlightworkpa love!",1,0
I always thought Michael Dyer & Isiah Crowell would play a big game in Nov for a conference title. Just didn't know it would be the SWAC.,-1,1
@itsomaaar LOL remember the 1st time we ever met with nabeel when we reached that jam,0,1
"No more Denean, Camp Airy tomorrow to see my friends, Dashboard on Sunday with @famouslyalone and lunch Saturday with @heathergro. Yessss.",1,0
sooo hard night... i must finish translation of report about Great East Japan Earthquake by tomorrow p.m.12:00!!!,-1,1
"Spotted! Dennis Kucinich and wife on 17th and R...as it often is his hand is resting on her, how shall I say it, derrier",1,0
birthday sex is on MTV Hits. this makes me think about 6th grade lmfaooo,1,-1
"Watching Wansapanataym with nephew, so grade schoool kids touch screen na rin mga cellphone? Noong elem ako cool na yun may mga beeper haha",0,1
"POP Bottles make Luv (THUG Passion) RED Bottoms , Mon Clare (High Fashion)",1,0
"The Vintage Club at Indian Wells. Ranked 21st in the state by Golf Digest, this place was so exclusive when it... http://t.co/0Kbsh9NI",1,0
Tune in to Mtv Hits tomorrow for the Making Of #WIDEAWAKE & don't forget 2 vote 4 Wide Awake for a MTV VMA! http://t.co/cBLLyo6j @katyperry,0,1
Mrs arrested 4 streaking @ Crufts. Judge gave her 2nd place with her puppies but said her Afghan could do with a trim,-1,1
"Hey peeps, I have confirmed with the Gladstone Hotel (Sunday from 3pm) that children are allowed in the part of... http://t.co/08YcgkFv",1,0
"Having complimented Peter Garrett yesterday for his suit, I fear he's worn the same one today. Hope it's the 2nd pair of pants. #qt",1,0
"@KrisSoutar lol i had it, hv to look for it again, but it is usually first week of march right before the Indian Wells event in March.",1,0
"If Spurs sell VDV, plus Modric leaves, they may as well save us the wait n just join the Championship.",-1,1
"@BBCSport #bbcsportsday c'mon guys, what about #LFC away 1-0 win at FC Gomel in #Belarus? I was there, I'm sure we won!",1,-1
Not going to carnival Tomorrow :(,-1,0
Alright #ymm! Tonight I champion Shoeless Joe at #ymmREADS! C'mon out and find out how a shoe gal can defend a book with that title ;),1,-1
just in The interview with author and speaker Joseph P. Genera will start to air this Monday afternoon. Stay tune for times.,0,1
Ahhhh the next few weekends are going to be messy! First off - this saturday: Powder Room at the Gladstone Hotel... http://t.co/C04KQKNr,-1,1
Going to watch Fashion King after 1 Litre of Tears and The Sun that Embraced the Moon I think,0,1
@AThrash13 They were here in May for Crawfish! Did you see them then?,0,1
China Telecom does away with creating the EPON the OLT: FTTH and FTTB price may be very http://t.co/mkdg2ttS,0,-1
Here's your chance to meet Jim Rogers and Milk Bellafiore this coming Saturday! I have got the Platinum VVIP... http://t.co/fRK6DigC,1,0
Poor shot selection!! And another bites in the dust. Azhar ali gone. James Pattinson gets his 2nd victim. #PakvAus #cricket,-1,0
I Wanna Taste The Sun: I knew How To Rock was going to be canceled from the start. I mean I... -... http://t.co/R31xB7Pi,0,-1
Can't get enough of @mikebellafiore after the first #phillipifest conference? Catch him & Jim Rogers LIVE 1 Sep LIVE http://t.co/oPeKEfPM,1,0
@nickelodeontv May you please show How To Rock from episode 1 and so on.....i cant blieve theres no more how to rock,-1,1
Don't forget to RSVP for Toronto's biggest hip hop jam on Sept 8th. We're going LIVE at City Nightclub with... http://t.co/9TaybRlh,0,1
"Please be advised that Round 5 of the Eastern Province Special Stage Rally Championship, scheduled for the 8th of... http://t.co/DZHsZcUM",0,1
Awe @andyroddick is retiring. 1st pro tennis match I ever watched live was Andy vs Feliciano under the lights in Indian Wells! #goodtimes,1,0
@ingrid_wien Asa and Kim bought me a Swarovski rose for Mothering Sunday. I haven't a clue what to do with it. It is still in the box.,-1,0
http://t.co/tX3bDdvV if you like La Leyenda and Duelo listen and download my recent mix!,1,0
". @VancityBuzz Hey Karm, will I see you Tuesday at @raiseit4ryp?",0,1
"On Sunday the 23rd of Septemer, Big Time Movie will air here in Australia.",0,1
"And whilst listening to Dashboard with a hangover, I may as well slit my wrists",-1,0
"YES PLEASE! Entered the Cape Argus Pick n Pay Cycle Tour happening on Sun, 10 Mar 2013!",0,1
Alli Simpson. They may just be two normal words to you. But they mean the world to me. @AlliSimpson,1,0
Nearly 14-minute mark in the 3rd quarter before Michael Dyer is mentioned on the Clemson-Auburn telecast. Many bets lost on the under.,-1,0
Thursday felt like Saturday. Saturday was weird. This morning is like St Patrick's Day. What is tonight like? #futuregrequestion?,0,1
"Play fair Ben Howland...Sean Miller may be tough to keep up with cleanly, but lets all be gentlemen here",1,0
The team may not be playing great ball right now but SS of the future Jose Iglesias is 0-14 since his call up...so there's that! #RedSox,0,1
"Just thought about the fact that I'm now a Junior. PSAT, PSSA, SAT's, Benchmarks, Benchmarks, Homework, Benchmarks and, Prom. Wow.",0,1
"Philippine Star picked up the ASAP 2012, Wansapanataym and Bottomline PR last Saturday. Hooray. :)",1,0
MONDAY 10th -GEORDIE FOAM PARTY with the Geordie Shore cast @ CITY NIGHTCLUB. i sooooo hope @gazgshore will be there!! will u be there??,1,0
"@GotMalkin tickets are cheap at least. And c'mon, you don't get that many chances to see and possibly meet Mario Lemieux",1,-1
@realbkbrown Bobbi Kristina just favorited my tweet retweeted me and tweeted me all in the same day. she helped me to say hello 2 September,1,0
2Day in 1999 Mario Lemieux's ownership grp takes over the Penguins. 1st player in modern era to buy the team he played 4. Le magnifique!,1,0
Love the new mix by Jason Vernau Live @ Nikki Beach Miami March 11th 2012 by @DJjasonVernau via #soundcloud http://t.co/NTD8DJPx,1,0
It was windy on Saturday? Andre's fault. Joseph Kony hasn't been caught? Andre's fault. Dell make shit PC's? Andre's fault. #AVB #AVBout,-1,1
"Saturday flashmob on the music of The Runaways in following my tweets, you can see what the music is done!",0,1
THSK was the 2nd foreign singer that can have ranked 1st on Oricon Weekly Chart twice with 2 songs: purple line n beautiful you..,1,0
TOMORROW 9/5: Come get a FREE mustache tee @ Party on the Plaza in front of Gregory Gym from 10am-5pm! We have a... http://t.co/0AMywXcv,0,1
"http://t.co/Ib9XfShL almost ready for the #Huntsville Building Home & Garden Show, few tweeks on Friday & away we go",0,1
"Tia Sharp: cause of death may never be known- well they would have known it, had they found the body when they first search her house.",0,-1
Duke Energy CEO Jim Rogers addressed the Democratic National Convention Thursday afternoon http://t.co/D9cFtvsC,0,1
@ProfOfGoonism September 22 is a Bastard Bearded Irishmen half way to St. Patty's Day party at Mulligan's. I'm going and Erika's going,-1,0
"Hey guys, guess what!? I'm back at The Lair on January 19th, it's going to be bigger and better!! Tickets go on sale next Friday! Xx",1,0
"Busy prepping for Zane's Pi Day tomorrow. Pie all day long! Also thinking about sheep, but that's to do with the lesson for church tomorrow.",0,1
"http://t.co/Q7Q8bJrT who knows? may be one day, Eastern Province become an independent state !!",1,0
So now it seems Daav(Conspiracy) of Yadav have back fired...and if true/proved may create troubles for Akhilesh Yadav and Samajwadi Party...,-1,0
"They're unveiling me Wednesday at the Yerba Buena Center in SF. Don't know why, but I like the way @harrymccracken looks at me.",1,-1
NYFW With Abbey Dawn !!!!! This seriouslly may seem to make me personally Laughter! http://t.co/jjU8kXzm,1,0
KYLIE JENNER'S RUNWAY for ABBEY DAWN is going to be on E NEWS tomorrow every make sure you tune in and watch it,0,1
I'm absolutely skint til payday next Friday. This all stems from being paid the day I went to Leeds festival.,-1,0
"@xSamanthaStyles sydney dalton (eww) did a good one. She posted on her tumblr what she did. Google it or something, you may find it.",1,0
"@bdd9 Every day from work, Monday had the Paley screening, Tuesday had to run errands, tonight auditions ran late. No break yet. :(",-1,1
Adios Jim Calhoun - the coach with the most NCAA Tournament wins that didn't coach at UNC or Duke (4th when you add those schools).,0,1
"@QuotesSimpson Father I'm not a Catholic, well I tried to march in the St Patricks Day parade!",0,-1
"Deir Ezzor :: Colonel Mohammed Al-Abdullah, from the 4th Division, and the Lt. Recruit Feras Mohammed Al-Abdullah have defected #Syria Ne...",-1,0
"@DrPravinTogadia I condemned both the measures but relating it to religion is cheap. If done in Jan then Holi, if done now, then Diwali",-1,1
Los Angeles Galaxy (Official Site) >> Wilhelmsson hopes to make LA debut Friday vs. Rapids http://t.co/6NAmIStY,1,-1
Lmao ite he ain't goin be to happy he said he coming to allderdice tomorrow for you nigga @Finally_Rich,-1,1
Just read about the iPhone5 ... we can upgrade in November and I am definitely trading in my Thunderbolt for the new iPhone. #LoveMyMac :),1,0
@Swish_KK32 and if ur amywhere near kansas state and dont come watch us play in the preseason NIT on nov. 12th im gonna fight u for that too,-1,0
"@ScottTancock @Darren_Healy Myself and Owain are available tomorrow if you're short, though as a duo if poss as he owes me a lift. #student",1,0
"Watching Karate Kid 3 for the 1st time. So Mr. Miyagi's dream is to open a bonzai shop and not, I dunno, a karate dojo?",0,1
Me and @_KILLTom sat in the kitchen eating loads of food last night with Owain like throwing up lmao #sozmate,1,-1
"Arnez J @arnezjcomedy sold out the Houston Improv last night and put a crazy, brilliant, side-splitting performance! He's here til Sunday!",1,-1
This is really going to hurt Virginia Tech on Selection Sunday,-1,0
If Spurs dont win tomorrow the only consolation we will have will be another entertaining twitter breakdown from @cobthfc stay tuned folks!,0,1
Is it coincidence that the Jets wear green? Celebrate Halfway to St Patrick's Day this Sunday with NFL Football!... http://t.co/xGOsSKzt,0,1
Carles Puyol could be out for up to 6 weeks after straining knee ligaments. Further tests on the Barca man tomorrow - http://t.co/RfNj8osA,-1,0
Christians News Christian Wilhelmsson: How Chippen Will Help the Los Angeles Galaxy http://t.co/u0tT7yGL May it be worthy.,1,0
#EPAO JCC demands ROP to workcharge employees: Urging the Chief Minister to implement the 6th Pay Commi... http://t.co/T0ziYBvS #MANIPUR,0,-1
"I am telling you come what may, Kareena Kapoor will not win a National Award for Heroine.",-1,1
"The John Hancock building is lit up green, must be to celebrate that tomorrow is six months to St Patricks Day :) Let the countdown begin <3",1,0
Don't forget some money for school tomorrow if you would like to purchase Kony 2012 gear! #invisiblechildren #kony2012,0,1
Andy Lee punts it down to the 14 after Crabtree couldn't come up with grab on 3rd down.,-1,0
"ASU Pajamas or Northglenn Pajamas tomorrow? Trust me, its harder than you think.",-1,0
Out! Monday night dinner with Nit in a few. 18th :),1,0
Miyagi just got banned from yoga. He was caught him sniffing the sphincter of the girl in front of him. There may be police involvement!,-1,1
7th lie: Sameera said that Nabeel's marches threatened police to use Molotov cocktails & iron rods ! she's not ashamed of pure lies #Bahrain,-1,0
"@bossiecasonceo see you this wed, show is 10/10/12 @ 8p Houston Improv!!!",1,0
Tomorrow I'm going to be one of the Runaways..! #BattleBorn #TheKillers,0,-1
"Apparently, ARTPOP is said to be released on March 8th, which turns out to be International Women's day! GET READY!",1,0
"Just for clarification, Spock is referring to time travel in that quote, it which might be possible by Gingrich's 16th year in office.",1,0
"Just for clarification, Spock is referring to time travel in that quote, it might be possible by Gingrich's 16th year in office.",1,0
@EvO317 : ill have copies on deck for the show on the 28th at the Hoosier Dome .,0,1
Samajwadi Party's parliamentary board will not meet tomorrow to decide the future course of action. Next meeting no decided yet.,-1,0
"Sir Terry Leahy, the man behind Tesco's success, is speaking at @oaklandscollege in WGC tomorrow: http://t.co/2Q13efsz",0,-1
GrOVe City Wet Bar FriDay Night W the Ladies... Red Bottoms.Came In Mail Yesterday Time Break Them Bad Boys In....#Trendsetta,0,-1
Why Mulayam Singh Yadav's Samajwadi Party may not dump the Congress after all,1,0
Mon kemoner station now available on itunes for all Shreya Ghoshal bengali fans - just go and get it,1,0
"Since the high school's dress code basically doesn't let us wear anything, how many rules would i be breaking if i came in naked tomorrow",-1,0
"Jose Iglesias homers w/ the #Rays down 4-1 in the 9th? That's it, I'm calling it. 9/20/12 10:01pm time of death for Tampa.",-1,0
1st Major League HR for Jose Iglesias extends the Sox lead to 4-1 in the top of the 9th.,1,0
@BabyBaileyBear [He smiled] It depends what type of books you like to read. I like James Pattinson. They may not have those here..,1,0
"Our contest is being featured on @adafruit Blog, for Pi Day Friday! Check it out here! http://t.co/orkoK4Gi and enter to win!",1,0
@TheScript_Danny @thescript - St Patricks Day with u guys on #Script3Tour Don't mind which is 1st/last as long as hear the amazin ~I'm Yours,1,-1
@TheScript_Danny @thescript - St Patricks Day with u guys on #Script3Tour Don't mind which is 1st/last as long as hear the amazin #I'm Yours,1,-1
"Barcelona face a defensive crisis when they host Granada on Saturday, with Carles Puyol (knee) and Gerard Pique (foot) both sidelined.",-1,0
@kevinpp24 was supposed to announce.. Rahul Dravid it is.. The great wall in our studio tomorrow.. Add to that Sourav and Nasser..,0,1
I don't think I'm going to JOUVERT tomorrow.,-1,0
@Doug_Zamensky @SuzziFiazco @ianasbury #HARD #dayofthedead weekend just got a bit weirder. Chateau Marmont on Sunday? What?!,-1,0
"here is a classic...reminds me of the show I am going to on Monday Stranded presents Krautrock legend, Moebius... http://t.co/AKYtvpTD",1,0
"Sophos is the Lamest Virus Ever...: Starting September 19, Sophos successfully became the lamest... http://t.co/14HqjMMq |InfoSecIsland",-1,0
"Sup Universe? If Crows lose tonight and Belfort loses tomorrow, I will go Jason Russell on the streets of Adelaide. Don't let this happen.",-1,0
Pop in to the Gladstone Hotel with Mommy and strollers for free coffee and socializing mon-fri 10:00 a.m. to 4:00... http://t.co/IrAi7C77,0,1
It was fought in the 208/9 AD between the allied forces of the warlords Liu Bei and Sun Quan and the superior forces of the warlord Cao Cao.,0,1
@__Takiyah hmm if this Friday is the 28 then it's away at Seaholm. Next home is hc :(,-1,0
Brilliant Burns stops Mitchell in 4th: Kevin Mitchell's bid to win the WBO lightweight title ended in failure on... http://t.co/GZxRbVmM,-1,1
"Los Angeles Galaxy (Official Site) >> GOAL: Juninho gets his 2nd of the night, 7th of the season http://t.co/DbFlSLsM",0,-1
Going to see duelo tomorrow at the lonestar park :),0,1
The Los Angeles Galaxy clinched a spot in the MLS playoffs with a win on Saturday night.,1,0
Idk bout your Saturday but damn mine was the shit...and I didn't even got to Jouvert,1,-1
I'm performing at this benefit with @Wyattish tonight Mike D is DJing as well gonna be fun! http://t.co/8fsXaj0Z #lefooding #benefit,0,1
Do Endsmeat? Sharon Stone Rushed To The Hospital! - Oh no! Sharon Stone had a health scare on Saturday when she was ... http://t.co/EthDVGiF,-1,0
"@Jaackkemp wooooooo, getting drunk on a Wednesday night with Jack Kemp, basically a dream come true.",1,0
"Someone runs the wrong route on 3rd and 8, but Andy Lee saves it with a MONSTER punt. Special teams to the rescue?",1,0
Wow Vick this is why i stopped with montreal canadiens..foreign languages..say one thing..may mean http://t.co/bZ1xEP8J,-1,1
Hopefully going to the seton hall fall exposure showcase October 20th with my boy Mike D.,1,0
I may even stroll to something besides Rosa at Jouvert! But only cause it's dark... lol THIS SATURDAY! Tickets $25 !,0,1
No pain no Gain BALLS DEEP sweet chin music HBK got us all da way TURNT up...hair weave killa dont sweat it tomorrow we'll get you permed up,0,1
"@sidelinescouts in case you're curious, Andy Lee outscored all the nonQBs in my fantasy matchup. 2nd place: Moorman. 3rd: Larry Fitzgerald.",1,0
Will be presenting speakers at this Friday's youth shout out forum at Challenge Stadium with the honorable Julie Bishop and Peter Garrett.,1,0
"Thilakan had given a reality check into the affairs of malayala cinema in '08 - Superstardom, National Award et al http://t.co/WJtUaQ3r",1,0
"#Vote4UrDAYUMSelf Comedy Show w/ @Ali_Speaks TOMORROW @ the Houston Improv, 7:30 PM. FREE SHOW! Get #Register2Vote or #Pledge2Vote to enter.",1,0
@ShawnMichaels can i get a retweet for my 17th birthday HBK?? #DX btw do you have a fan mail address that u sign things through?? #HBK4Life,0,1
"@AmyVanDyken @DjFlowe Bret Hart, HBK, and Vince McMahon were now involved in the 2nd best screwjob ever",0,1
"Solido, Costumbre, Duelo, Intocable with migz. 9th grade all over again #jammin #956",0,1
#QuestionsIHateBeingAsked this is why i stopped with montreal canadiens..foreign languages..say one thing..may mean http://t.co/FLOOZfhq,-1,0
At the risk of sounding redundant: Comedy! Poetry! Thunderbolt! Wednesday 26th! Free! #bristol #comedy #poetry #hashtag,1,0
"Galaxy S II can be wiped by just clicking a link, other devices may be vulnerable http://t.co/Z643jSTQ #Galaxy #Samsung #HTML #Vulnerability",-1,0
"Galaxy S II can be wiped by just clicking a link, other TouchWiz devices may also be vulnerable http://t.co/9Yj0W56z #gaffaw #fb",-1,0
"Heads up: Galaxy S II can be wiped by just clicking a link, other TouchWiz devices may also be vulnerable - http://t.co/1qoMUT8a /r",-1,0
"Galaxy S II can be wiped by just clicking a link, other TouchWiz devices may also be vulnerable http://t.co/jUK6IzPY #ops",-1,0
"Galaxy S II can be wiped by just clicking a link, other TouchWiz devices may also be vulnerable | Th http://t.co/YCezR0qp",-1,0
"Galaxy S II can be wiped by just clicking a link, other TouchWiz devices may also be vulnerable",-1,0
UK vs SC game Sat at 7pm. Only on CBS College Sports. Channel 256 in the Preferred tier in Bremen&Brooks. Call 855-55-CABLE & upgrade! #fb,1,0
@the_bear_112 Oh my god! Nah man! Luckily its not until this Saturday :) Think someone said to me its the nickname for St Patricks Day? O.o,1,0
"Whitney Houston's daughter Bobbi Kristina stars in a new reality show, much of it filmed in Atlanta http://t.co/IG2tCxSY",0,-1
@NermTheBoz you me and @grabmywerner should skip Knaus' class tomorrow morning and go get breakfast at perkins :),1,0
"Heads up: Galaxy S II can be wiped by just clicking a link, other TouchWiz devices may also be vulnerable http://t.co/hHesGne2",-1,0
"Saving Face by Daniel Junge and Sharmeen Obaid-Chinoy:Oscar winner at the 84thBest Documentary (Short Subject):Wed, 26 Sept-Erasmus, 19:30",0,1
"...woah, Deezer. Babel only came out on Monday, can you leave it up for longer than a day to give slow people like me a chance?",1,0
Live blog: Gingrich wins South Carolina: Newt Gingrich swept to an easy victory Saturday in the South Carolina p... http://t.co/BfrW2d1e,0,1
@Dravidoholic ->RT @rajasthanroyals: Stay tuned for the #BowlToTheWall contest tomorrow and get a chance to bowl to Rahul Dravid himself!,0,1
I would like to fast forward to Friday when I'm at the Singapore Indoor Stadium!,0,1
Activists in Deir Ezzor captured this image of Musab Bin Umair Mosque after regime forces set it on fire Wednesday. http://t.co/MRcoprCE,-1,0
"We're getting ready for 1/2 Way to St. Patty's Day! We'll see you Saturday, starting at 4. The Unlucky Charms play at 9:30!",0,1
"It's lookin up for the NFL! According to ESPN's Chris Mortensen, locked out officials may soon be back on the field.",1,0
"#PVRDirectorsRare to release Aditi Roy's National Award winning #Abosheshey with Eng subs on Oct 12. NETPAC Best Asian Film, IFF Kerela",0,1
"Chief Minister follows up on restoration work: Restoration of the damaged side of the Anna arch began on Wednesday,... http://t.co/GpnUQoRZ",0,1
"Dear VIPs, we will be selling the cheering goods for Big Bang Alive Tour at Singapore Indoor Stadium for the whole day tomorrow.",0,1
Get ready for Jouvert on the road in Miami on Sat Oct 6th Central Broward Regional Park hosted by Miami Broward one Host carnival,1,0
"Congratulations Aishah on passing your driving test 1st time at the Mitcham test centre, with our driving... http://t.co/FH8mnYQ3",1,-1
KYOCERA to Supply 30MW of Modules for Solar Power Plant in Northern Japan: Following the July start of a new fee... http://t.co/ZDDTvbQM,0,1
Awesome Thursday meeting!!! Mike D. rocked the house! (@ Double Tree by Hilton) http://t.co/sNKQG0K6,1,0
Strong 2nd set by Dons evens it at 1-1 vs BYU. Let's finish this one out here at The Hilltop! #godons #aimhigher.,0,1
"Weezer - Island in the Sun, Dashboard Confessional - Hands Down #np",1,0
We also provided Prepix and the managers with a common Korean energy drink. Hopefully it'll awaken them a little tomorrow!,1,0
Doing the stairs to the 4th floor of the Paley library will keep you in shape. #steep,1,0
"@OwainGlynEvans TY for the follow, Owain! We may have some sparring to do over footie. My house is loyal to Real Madrid. ;-)",1,0
Coming up in your Weekend Argus tomorrow: Kalk Bay waves cause some damage in the area.,-1,1
Neil deGrasse Tyson - Dream of Tomorrow: Please sign the petition to double NASA's budget to a penny on... http://t.co/OK55cKSM #atheism,0,1
"BiG Bauss, @yung6ix I hope you'lld be coming to ABJ on the October 4th With Solidstar and The Rest... Plz Reply",1,0
Would it be disrespectful if I wore a Duke shirt to the Tarheels game tomorrow? Lol I'm kinda a Duke basketball fan so... ?,0,1
Avondale finally gets into the end zone I need Tim Smith touchdown pass. Seaholm still leads 28-9 late in 4th,1,0
"I miss old school Dashboard Confessional, taking back Sunday, senses fail, early November, and the used. #middleschooljams",-1,0
Pumped about #RealScience returning Monday on CBS11 News at 4p! Did you know the largest net-zero school in the U.S. is here in Metroplex?,0,1
"@iCandy000 umm I'm in the debate right now. I'm looking at the Tribe party at the Hardrock on Thursday, Rave, Jouvert, scorch cooler fete",0,1
"At the Houston Improv this Sunday night performing with the hilarious Raj Sharma. If you, or someone you care... http://t.co/3zAdyRDE",0,1
"Fab day in #Bristol today. Now time for Fish n chips from Argus then off to see #Looper, Sat nights were made for this #nice",1,0
"For those not at Cedar Point on the 27th, be at #HallowFreakend ;) @ American Legion (31775 Grandriver Ave Farmington Hills 48336)",0,-1
Nabeel just sat on a hot plate of rice lol,0,1
@kris1179 If Spurs hadn't got that result mate you guys would have been 1st up. Have you heard SAF moaning. 4mins injury time an insult.,-1,0
It's endorsement season. You'll want to read tomorrow's Indian Wells editorial. I'm thinking upset @mydesert,-1,0
"Just think some misguided girl is in the VIP tonight suckin dick & will wake up to 87,000 hits on WorldstarHipHop tomorrow #BETHipHopAwards",-1,0
Thunderbolt:A strong electric blast is loosed at the foe. It may also leave the foe paralyzed.,-1,1
"For those not at Cedar Point on the 27th, be at #HallowFreakend ;) @ American Legion (31775 Grandriver Ave Farmington Hills 48336) x2",0,-1
Adam Schefter needa go'on get Chris Mortensen ass outta here. Mort just mumblin' stumblin' fumblin' every single Sunday.,-1,0
@Ahisraell Lies! I've been failing the math TAKS since like 6th grade man. :o,-1,1
So it's the start of October. 30 days till Halloween. Trust some dickhead to dress up as Joseph Kony on the 31st.,-1,1
[Best Sellers] #4: The 2nd Law [Explicit]: The 2nd Law [Explicit] Muse | Format: MP3 Download 1 day in the... http://t.co/zeq6b9om #AmazonUK,0,1
Neil deGrasse Tyson says the 1st person to walk on Mars is likely now a middle school student in China. Sad. @TheScienceGuy,-1,0
"@_2Shades_ maybe 3rd team bro, he's not better than trey Burke from Michigan",-1,1
Winter Jam is all set up! The artist line up and tour dates will be announced on October 30th! Who do you hope is going to be announced?,1,0
I apologize in advance if any of you spot me in Malahide's Pennies tomorrow. uuggghfghfgd,-1,1
"Last night was #twEATup dinner at Bucci, tonight is sister's bday dinner in Sunnybank, tomorrow is dinner at The Red Hen. #whatweightgain",0,1
"ONE Fighting Championship takes place October 6 at the Singapore Indoor Stadium, this is gonna be an incredible... http://t.co/8G7g6pCB",1,0
"@Cheetoss_96 Ugly, are you taking the CAHSEE tomorrow?",-1,0
My mom's over here tryna tell me that we're taking the CAHSEE tomorrow ._. Nigga it's only the second month of school.. #SlowYourRoll,-1,0
@Moilifestyle No ! I'm looking so bummy tomorrow ! I have to take the CAHSEE,-1,0
I need to go to sleep! I have to take the CAHSEE tomorrow /:,0,-1
"Saudi hereditary dictatorship kills Shias in the Eastern Province. UN Security Council not to meet, Pakistani #MullahCult not to march.",-1,0
@sandralaville Sounds like April may know the person that has taken her but just hope we DON'T have another Tia Sharp case on our hands!!,-1,1
Roll on Thursday when I can get back to the gym;6 weeks of doing nothing but drink and eat crap since Leeds Festival is taking its toll #fat,-1,1
"@D3mous nope not all I can't afford all.. But I going picnic, Jouvert, the free jam Thursday and Sunday,",-1,0
"@Tina__Tubs Does anyone else find it odd #McCann jumped on April Jones bandwagon,but didnt say word about Tia Sharp where FAMILY involved ?",-1,0
@joefooty #C2K Carles Puyol! Omg! What a landing! May god help him with his hand!! Ouch!!,1,0
"Jim Rogers is also responsible for laying off 1,900 N.C workers in a state that has the 5th highest unemployment rate in the U.S",-1,0
"In tomorrow's debate, if Romney is half as sharp as he was in this earlier exchange with Gingrich... Obama is toast: http://t.co/Bi5pNvMR",1,0
i'm so tight because i'm taking the HSPA tomorrow and am gonna miss some of my classes.,-1,1
marth CASHEE retake tomorrow and i havent studied. still busy with this book report. fml,-1,0
"I'm about to just tweak in make up HSPA tomorrow, these mofuckas failed me for English by TWO points.",-1,0
"i'm taking the CAHSEE (I've never taken it bitches so stfu) CSU & UC applications are in progress, and i'm taking the SAT Saturday. fuck -.-",0,-1
